<DATE>,<CLOSE>
2019.01.16,44.75
2019.01.17,44.91
2019.01.18,44.53
2019.01.21,44.3
2019.01.22,44.21
2019.01.23,45.13
2019.01.24,44.9
2019.01.28,44.32
2019.01.29,45.8
2019.01.30,46.4
2019.01.31,47.57
2019.02.01,47.8
2019.02.04,48.71
2019.02.05,50.13
2019.02.06,47.08
2019.02.07,47.39
2019.02.08,47.45
2019.02.11,46.05
2019.02.12,48.88
2019.02.13,47.77
2019.02.14,50.21
2019.02.15,50.28
2019.02.18,49.78
2019.02.19,49.99
2019.02.20,48.58
2019.02.21,48.8
2019.02.22,49.16
2019.02.25,48.36
2019.02.26,48.61
2019.02.27,48.06
2019.02.28,46.86
2019.03.01,47.51
2019.03.06,46.86
2019.03.07,46.7
2019.03.08,48.34
2019.03.11,49.82
2019.03.12,49.52
2019.03.13,50.28
2019.03.14,49.9
2019.03.15,50.32
2019.03.18,49.94
2019.03.19,48.88
2019.03.20,47.78
2019.03.21,46.78
2019.03.22,44.23
2019.03.25,44.55
2019.03.26,45.6
2019.03.27,43.07
2019.03.28,44.58
2019.03.29,45.23
2019.04.01,45.67
2019.04.02,45.27
2019.04.03,44.79
2019.04.04,45.33
2019.04.05,45.59
2019.04.08,45.66
2019.04.09,44.98
2019.04.10,45.31
2019.04.11,44.8
2019.04.12,43.38
2019.04.15,43.5
2019.04.16,44.4
2019.04.17,43.82
2019.04.18,45.35
2019.04.22,44.87
2019.04.23,45.78
2019.04.24,44.85
2019.04.25,45.58
2019.04.26,45.81
2019.04.29,45.83
2019.04.30,46.12
2019.05.02,46.22
2019.05.03,46.49
2019.05.06,45.83
2019.05.07,45.94
2019.05.08,46.96
2019.05.09,47.37
2019.05.10,46.56
2019.05.13,44.9
2019.05.14,44.47
2019.05.15,43.73
2019.05.16,42.37
2019.05.17,41.64
2019.05.20,43.23
2019.05.21,45.7
2019.05.22,45.65
2019.05.23,45.72
2019.05.24,46.4
2019.05.27,47.3
2019.05.28,47.92
2019.05.29,47.87
2019.05.30,48.58
2019.05.31,48.48
2019.06.03,48.71
2019.06.04,49.5
2019.06.05,48.14
2019.06.06,49.36
2019.06.07,48.96
2019.06.10,48.5
2019.06.11,49.46
2019.06.12,49.0
2019.06.13,48.22
2019.06.14,47.37
2019.06.17,47.32
2019.06.18,48.43
2019.06.19,49.22
2019.06.21,49.61
2019.06.24,49.73
2019.06.25,49.27
2019.06.26,50.34
2019.06.27,50.44
2019.06.28,50.57
2019.07.01,50.52
2019.07.02,49.87
2019.07.03,50.91
2019.07.04,51.74
2019.07.05,51.57
2019.07.08,51.52
2019.07.10,50.87
2019.07.11,49.88
2019.07.12,48.75
2019.07.15,48.46
2019.07.16,48.54
2019.07.17,48.55
2019.07.18,49.37
2019.07.19,48.75
2019.07.22,48.76
2019.07.23,48.19
2019.07.24,49.06
2019.07.25,46.99
2019.07.26,46.88
2019.07.29,47.3
2019.07.30,46.82
2019.07.31,46.15
2019.08.01,45.71
2019.08.02,45.72
2019.08.05,44.86
2019.08.06,45.47
2019.08.07,45.43
2019.08.08,45.75
2019.08.09,45.61
2019.08.12,44.07
2019.08.13,44.58
2019.08.14,43.03
2019.08.15,42.99
2019.08.16,42.88
2019.08.19,42.03
2019.08.20,41.99
